 13/12/2025 17:26:58,1,2,2, 13/12/2025 17:26:58.915,DATA,"70.000000,70.200000",127.0.0.1:57102,0.917,0,1,26,1.1982
 13/12/2025 17:26:59,1,fahrenheit,1, 13/12/2025 17:26:58.107,INIT,,127.0.0.1:57102,1.113,0,0,10,1.1681
 13/12/2025 17:26:59,1,2,2, 13/12/2025 17:26:59.915,DATA,"70.000000,70.200000",127.0.0.1:57102,0.916,0,0,26,0.1304
 13/12/2025 17:27:00,1,1,3, 13/12/2025 17:27:00.915,DATA,69.800000,127.0.0.1:57102,0.916,0,0,18,0.1232
 13/12/2025 17:27:01,1,3,4, 13/12/2025 17:27:01.916,DATA,"71.000000,71.100000,71.200000",127.0.0.1:57102,0.917,0,0,34,0.1457
 13/12/2025 17:27:02,1,4,5, 13/12/2025 17:27:02.916,DATA,"68.500000,68.600000,68.700000,68.800000",127.0.0.1:57102,0.917,0,0,42,0.1610
 13/12/2025 17:27:03,1,1,6, 13/12/2025 17:27:03.916,DATA,72.000000,127.0.0.1:57102,0.917,0,0,18,0.1982
 13/12/2025 17:27:04,1,2,7, 13/12/2025 17:27:04.916,DATA,"70.000000,70.200000",127.0.0.1:57102,0.917,0,0,26,0.1697
 13/12/2025 17:27:05,1,1,8, 13/12/2025 17:27:05.916,DATA,69.800000,127.0.0.1:57102,0.917,0,0,18,0.1472
 13/12/2025 17:27:06,1,3,9, 13/12/2025 17:27:06.917,DATA,"71.000000,71.100000,71.200000",127.0.0.1:57102,0.918,0,0,34,0.1889
 13/12/2025 17:27:07,1,,0, 13/12/2025 17:27:07.915,HEARTBEAT,,127.0.0.1:57102,0.916,0,0,10,0.7878
 13/12/2025 17:27:07,1,4,10, 13/12/2025 17:27:07.917,DATA,"68.500000,68.600000,68.700000,68.800000",127.0.0.1:57102,0.927,0,0,42,0.1107
 13/12/2025 17:27:12,1,1,11, 13/12/2025 17:27:12.918,DATA,72.000000,127.0.0.1:57102,0.919,0,0,18,0.2713
 13/12/2025 17:27:17,1,2,12, 13/12/2025 17:27:17.918,DATA,"70.000000,70.200000",127.0.0.1:57102,0.919,0,0,26,0.1776
 13/12/2025 17:27:27,1,,0, 13/12/2025 17:27:27.916,HEARTBEAT,,127.0.0.1:57102,0.918,0,0,10,1.1645
