server_timestamp,device_id,batch_count,sequence_number,device_timestamp,message_type,payload,client_address,delay_seconds,duplicate_flag,gap_flag,packet_size,cpu_time_ms
 10/12/2025 03:05:35,1,3,38, 10/12/2025 03:05:35.885,DATA,"24.0,44.9,3.9",127.0.0.1:55883,0.885,0,0,22,0.0605
 10/12/2025 03:05:36,1,5,39, 10/12/2025 03:05:36.886,DATA,"23.8,45.1,3.7,2.8,9.32",127.0.0.1:55883,0.887,0,0,31,0.0523
 10/12/2025 03:05:37,1,2,40, 10/12/2025 03:05:37.887,DATA,"24.2,3.8",127.0.0.1:55883,0.888,0,0,17,0.0902
 10/12/2025 03:05:38,1,4,41, 10/12/2025 03:05:38.888,DATA,"23.5,45.2,3.8,7.2",127.0.0.1:55883,0.888,0,0,26,0.0683
 10/12/2025 03:05:39,1,3,42, 10/12/2025 03:05:39.888,DATA,"24.0,44.9,3.9",127.0.0.1:55883,0.889,0,0,22,0.0711
 10/12/2025 03:05:40,1,5,43, 10/12/2025 03:05:40.888,DATA,"23.8,45.1,3.7,2.8,9.32",127.0.0.1:55883,0.889,0,0,31,0.0927
 10/12/2025 03:05:41,1,2,44, 10/12/2025 03:05:41.889,DATA,"24.2,3.8",127.0.0.1:55883,0.89,0,0,17,0.0677
 10/12/2025 03:05:42,1,3,46, 10/12/2025 03:05:42.889,DATA,"24.0,44.9,3.9",127.0.0.1:55883,0.89,0,0,22,0.0218
 10/12/2025 03:05:43,1,5,47, 10/12/2025 03:05:43.889,DATA,"23.8,45.1,3.7,2.8,9.32",127.0.0.1:55883,0.89,0,0,31,0.0908
 10/12/2025 03:05:44,1,2,48, 10/12/2025 03:05:44.890,DATA,"24.2,3.8",127.0.0.1:55883,0.891,0,0,17,0.0529
 10/12/2025 03:05:45,1,4,49, 10/12/2025 03:05:45.890,DATA,"23.5,45.2,3.8,7.2",127.0.0.1:55883,0.891,0,0,26,0.0707
 10/12/2025 03:05:46,1,3,50, 10/12/2025 03:05:46.891,DATA,"24.0,44.9,3.9",127.0.0.1:55883,0.892,0,0,22,0.0677
 10/12/2025 03:05:47,1,5,51, 10/12/2025 03:05:47.892,DATA,"23.8,45.1,3.7,2.8,9.32",127.0.0.1:55883,0.893,0,0,31,0.0743
 10/12/2025 03:05:48,1,2,52, 10/12/2025 03:05:48.893,DATA,"24.2,3.8",127.0.0.1:55883,0.893,0,0,17,0.1310
 10/12/2025 03:05:49,1,4,53, 10/12/2025 03:05:49.893,DATA,"23.5,45.2,3.8,7.2",127.0.0.1:55883,0.894,0,0,26,0.0687
 10/12/2025 03:05:50,1,3,54, 10/12/2025 03:05:50.894,DATA,"24.0,44.9,3.9",127.0.0.1:55883,0.895,0,0,22,0.0565
 10/12/2025 03:05:51,1,5,55, 10/12/2025 03:05:51.895,DATA,"23.8,45.1,3.7,2.8,9.32",127.0.0.1:55883,0.896,0,0,31,0.0715
 10/12/2025 03:05:52,1,4,57, 10/12/2025 03:05:52.895,DATA,"23.5,45.2,3.8,7.2",127.0.0.1:55883,0.896,0,0,26,0.0368
 10/12/2025 03:05:53,1,3,58, 10/12/2025 03:05:53.896,DATA,"24.0,44.9,3.9",127.0.0.1:55883,0.897,0,0,22,0.0720
 10/12/2025 03:05:55,1,2,60, 10/12/2025 03:05:55.934,DATA,"24.2,3.8",127.0.0.1:55883,0.935,0,1,17,0.2183
 10/12/2025 03:05:55,1,5,59, 10/12/2025 03:05:54.907,DATA,"23.8,45.1,3.7,2.8,9.32",127.0.0.1:55883,1.938,0,0,31,0.0361
 10/12/2025 03:05:56,1,4,61, 10/12/2025 03:05:56.961,DATA,"23.5,45.2,3.8,7.2",127.0.0.1:55883,0.961,0,0,26,0.0540
 10/12/2025 03:05:57,1,3,62, 10/12/2025 03:05:57.988,DATA,"24.0,44.9,3.9",127.0.0.1:55883,0.989,0,0,22,0.0938
 10/12/2025 03:05:59,1,5,63, 10/12/2025 03:05:59.015,DATA,"23.8,45.1,3.7,2.8,9.32",127.0.0.1:55883,0.015,0,0,31,0.0692
 10/12/2025 03:06:01,1,2,64, 10/12/2025 03:06:01.217,DATA,"24.2,3.8",127.0.0.1:55883,0.218,0,0,17,0.0904
 10/12/2025 03:06:02,1,4,65, 10/12/2025 03:06:02.218,DATA,"23.5,45.2,3.8,7.2",127.0.0.1:55883,0.219,0,0,26,0.0554
 10/12/2025 03:06:07,1,5,67, 10/12/2025 03:06:07.222,DATA,"23.8,45.1,3.7,2.8,9.32",127.0.0.1:55883,0.222,0,0,31,0.0690
 10/12/2025 03:06:12,1,2,68, 10/12/2025 03:06:12.223,DATA,"24.2,3.8",127.0.0.1:55883,0.224,0,0,17,0.0693
 10/12/2025 03:06:17,1,3,70, 10/12/2025 03:06:17.228,DATA,"24.0,44.9,3.9",127.0.0.1:55883,0.229,0,0,22,0.0744
 10/12/2025 03:06:22,1,5,71, 10/12/2025 03:06:22.231,DATA,"23.8,45.1,3.7,2.8,9.32",127.0.0.1:55883,0.232,0,0,31,0.0746
 10/12/2025 03:06:27,1,4,73, 10/12/2025 03:06:27.235,DATA,"23.5,45.2,3.8,7.2",127.0.0.1:55883,0.236,0,0,26,0.0725
 10/12/2025 03:06:32,1,3,74, 10/12/2025 03:06:32.240,DATA,"24.0,44.9,3.9",127.0.0.1:55883,0.241,0,0,22,0.0794
 10/12/2025 03:06:38,1,2,76, 10/12/2025 03:06:38.492,DATA,"24.2,3.8",127.0.0.1:55883,0.493,0,0,17,0.0928
 10/12/2025 03:06:43,1,4,77, 10/12/2025 03:06:43.496,DATA,"23.5,45.2,3.8,7.2",127.0.0.1:55883,0.497,0,0,26,0.0700
 10/12/2025 03:06:48,1,5,79, 10/12/2025 03:06:48.501,DATA,"23.8,45.1,3.7,2.8,9.32",127.0.0.1:55883,0.502,0,1,31,0.2539
 10/12/2025 03:06:53,1,2,80, 10/12/2025 03:06:53.505,DATA,"24.2,3.8",127.0.0.1:55883,0.506,0,0,17,0.0715
