server_timestamp,device_id,unit/batch_count,sequence_number,device_timestamp,message_type,payload,client_address,delay_seconds,duplicate_flag,gap_flag,packet_size,cpu_time_ms
 13/12/2025 17:21:32,1,2,2, 13/12/2025 17:21:32.270,DATA,"70.000000,70.200000",127.0.0.1:60315,0.272,0,1,26,0.9986
 13/12/2025 17:21:32,1,fahrenheit,1, 13/12/2025 17:21:32.268,INIT,,127.0.0.1:60315,0.458,0,0,10,1.2508
 13/12/2025 17:21:32,1,fahrenheit,1, 13/12/2025 17:21:32.456,INIT,,127.0.0.1:60315,0.467,1,0,10,0.6845
 13/12/2025 17:21:33,1,2,2, 13/12/2025 17:21:33.270,DATA,"70.000000,70.200000",127.0.0.1:60315,0.271,0,0,26,0.2446
 13/12/2025 17:21:34,1,1,3, 13/12/2025 17:21:34.270,DATA,69.800000,127.0.0.1:60315,0.271,0,0,18,0.1484
 13/12/2025 17:21:35,1,3,4, 13/12/2025 17:21:35.271,DATA,"71.000000,71.100000,71.200000",127.0.0.1:60315,0.272,0,0,34,0.1949
 13/12/2025 17:21:36,1,4,5, 13/12/2025 17:21:36.271,DATA,"68.500000,68.600000,68.700000,68.800000",127.0.0.1:60315,0.272,0,0,42,0.2457
 13/12/2025 17:21:37,1,1,6, 13/12/2025 17:21:37.272,DATA,72.000000,127.0.0.1:60315,0.273,0,0,18,0.2170
 13/12/2025 17:21:38,1,2,7, 13/12/2025 17:21:38.272,DATA,"70.000000,70.200000",127.0.0.1:60315,0.274,0,0,26,0.3182
 13/12/2025 17:21:39,1,1,8, 13/12/2025 17:21:39.272,DATA,69.800000,127.0.0.1:60315,0.274,0,0,18,0.2160
 13/12/2025 17:21:40,1,3,9, 13/12/2025 17:21:40.273,DATA,"71.000000,71.100000,71.200000",127.0.0.1:60315,0.274,0,0,34,0.1696
 13/12/2025 17:21:41,1,4,10, 13/12/2025 17:21:41.273,DATA,"68.500000,68.600000,68.700000,68.800000",127.0.0.1:60315,0.274,0,0,42,0.1733
 13/12/2025 17:21:42,1,,0, 13/12/2025 17:21:42.270,HEARTBEAT,,127.0.0.1:60315,0.272,0,0,10,0.9744
